event_slug,playerName,event_name,year,team,position,R1,R2,R3,total_to_par,scraped_at
adelaide-2023,Abraham Ancer,Adelaide 2023,2023,Fireballs GC,20,-3.0,-7.0,-2.0,-12.0,2026-03-04T18:29:11.991932
adelaide-2023,Anirban Lahiri,Adelaide 2023,2023,Crushers GC,2,-3.0,-6.0,-7.0,-16.0,2026-03-04T18:29:11.991769
adelaide-2023,Bernd Wiesberger,Adelaide 2023,2023,Cleeks Golf Club,31,-5.0,-2.0,-1.0,-8.0,2026-03-04T18:29:11.992029
adelaide-2023,Branden Grace,Adelaide 2023,2023,Southern Guards GC,41,2.0,-7.0,2.0,-3.0,2026-03-04T18:29:11.992112
adelaide-2023,Brendan Steele,Adelaide 2023,2023,HyFlyers GC,29,-5.0,-1.0,-3.0,-9.0,2026-03-04T18:29:11.992012
adelaide-2023,Brooks Koepka,Adelaide 2023,2023,Smash GC,19,-3.0,-7.0,-2.0,-12.0,2026-03-04T18:29:11.991923
adelaide-2023,Bryson DeChambeau,Adelaide 2023,2023,Crushers GC,28,1.0,-7.0,-3.0,-9.0,2026-03-04T18:29:11.992002
adelaide-2023,Bubba Watson,Adelaide 2023,2023,RangeGoats GC,12,-2.0,-5.0,-5.0,-12.0,2026-03-04T18:29:11.991858
adelaide-2023,Cameron Smith,Adelaide 2023,2023,Ripper GC,4,-3.0,-6.0,-6.0,-15.0,2026-03-04T18:29:11.991788
adelaide-2023,Cameron Tringale,Adelaide 2023,2023,HyFlyers GC,5,-3.0,-7.0,-5.0,-15.0,2026-03-04T18:29:11.991797
adelaide-2023,Carlos Ortiz,Adelaide 2023,2023,Fireballs GC,37,1.0,-6.0,-1.0,-6.0,2026-03-04T18:29:11.992078
adelaide-2023,Charl Schwartzel,Adelaide 2023,2023,Southern Guards GC,9,-4.0,-6.0,-4.0,-14.0,2026-03-04T18:29:11.991832
adelaide-2023,Charles Howell III,Adelaide 2023,2023,Crushers GC,22,-3.0,-3.0,-5.0,-11.0,2026-03-04T18:29:11.991949
adelaide-2023,Chase Koepka,Adelaide 2023,2023,Smash GC,24,-2.0,-2.0,-6.0,-10.0,2026-03-04T18:29:11.991966
adelaide-2023,Danny Lee,Adelaide 2023,2023,Korean Golf Club,25,-5.0,-1.0,-4.0,-10.0,2026-03-04T18:29:11.991974
adelaide-2023,David Puig,Adelaide 2023,2023,Torque GC,34,-2.0,-5.0,0.0,-7.0,2026-03-04T18:29:11.992053
adelaide-2023,Dean Burmester,Adelaide 2023,2023,Southern Guards GC,8,-6.0,-3.0,-5.0,-14.0,2026-03-04T18:29:11.991822
adelaide-2023,Dustin Johnson,Adelaide 2023,2023,4Aces GC,10,-1.0,-7.0,-5.0,-13.0,2026-03-04T18:29:11.991841
adelaide-2023,Eugenio Chacarra,Adelaide 2023,2023,Fireballs GC,45,2.0,-2.0,0.0,0.0,2026-03-04T18:29:11.992145
adelaide-2023,Graeme McDowell,Adelaide 2023,2023,Cleeks Golf Club,38,-5.0,-3.0,2.0,-6.0,2026-03-04T18:29:11.992086
adelaide-2023,Harold Varner III,Adelaide 2023,2023,RangeGoats GC,17,-1.0,-8.0,-3.0,-12.0,2026-03-04T18:29:11.991904
adelaide-2023,Henrik Stenson,Adelaide 2023,2023,Majesticks Golf Club,15,-4.0,-4.0,-4.0,-12.0,2026-03-04T18:29:11.991886
adelaide-2023,Ian Poulter,Adelaide 2023,2023,Majesticks Golf Club,26,0.0,-3.0,-6.0,-9.0,2026-03-04T18:29:11.991984
adelaide-2023,James Piot,Adelaide 2023,2023,HyFlyers GC,32,-3.0,2.0,-6.0,-7.0,2026-03-04T18:29:11.992037
adelaide-2023,Jason Kokrak,Adelaide 2023,2023,Smash GC,11,-4.0,-1.0,-7.0,-12.0,2026-03-04T18:29:11.991850
adelaide-2023,Jed Morgan,Adelaide 2023,2023,Ripper GC,43,4.0,-1.0,-4.0,-1.0,2026-03-04T18:29:11.992128
adelaide-2023,Joaquin Niemann,Adelaide 2023,2023,Torque GC,30,-2.0,-4.0,-2.0,-8.0,2026-03-04T18:29:11.992021
adelaide-2023,Kevin Na,Adelaide 2023,2023,Korean Golf Club,13,-4.0,-3.0,-5.0,-12.0,2026-03-04T18:29:11.991868
adelaide-2023,Laurie Canter,Adelaide 2023,2023,Majesticks Golf Club,48,,,,,2026-03-04T18:29:11.992170
adelaide-2023,Lee Westwood,Adelaide 2023,2023,Majesticks Golf Club,36,-1.0,-3.0,-2.0,-6.0,2026-03-04T18:29:11.992070
adelaide-2023,Louis Oosthuizen,Adelaide 2023,2023,Southern Guards GC,18,-4.0,-6.0,-2.0,-12.0,2026-03-04T18:29:11.991913
adelaide-2023,Marc Leishman,Adelaide 2023,2023,Ripper GC,21,-1.0,-3.0,-7.0,-11.0,2026-03-04T18:29:11.991940
adelaide-2023,Martin Kaymer,Adelaide 2023,2023,Cleeks Golf Club,46,3.0,5.0,-1.0,7.0,2026-03-04T18:29:11.992154
adelaide-2023,Matt Jones,Adelaide 2023,2023,Ripper GC,42,0.0,1.0,-3.0,-2.0,2026-03-04T18:29:11.992120
adelaide-2023,Matthew Wolff,Adelaide 2023,2023,Smash GC,44,0.0,0.0,0.0,0.0,2026-03-04T18:29:11.992135
adelaide-2023,Mito Pereira,Adelaide 2023,2023,Torque GC,27,0.0,-6.0,-3.0,-9.0,2026-03-04T18:29:11.991993
adelaide-2023,Pat Perez,Adelaide 2023,2023,4Aces GC,6,-5.0,-5.0,-5.0,-15.0,2026-03-04T18:29:11.991805
adelaide-2023,Patrick Reed,Adelaide 2023,2023,4Aces GC,3,-1.0,-7.0,-7.0,-15.0,2026-03-04T18:29:11.991779
adelaide-2023,Paul Casey,Adelaide 2023,2023,Crushers GC,39,-1.0,-2.0,-1.0,-4.0,2026-03-04T18:29:11.992095
adelaide-2023,Peter Uihlein,Adelaide 2023,2023,4Aces GC,7,-4.0,-4.0,-6.0,-14.0,2026-03-04T18:29:11.991814
adelaide-2023,Phil Mickelson,Adelaide 2023,2023,HyFlyers GC,16,-2.0,-7.0,-3.0,-12.0,2026-03-04T18:29:11.991895
adelaide-2023,Richard Bland,Adelaide 2023,2023,Cleeks Golf Club,35,-6.0,-1.0,0.0,-7.0,2026-03-04T18:29:11.992061
