event_slug,playerName,team,event_name,season,birdies_per_round,drive_distance,eagles,fairway_pct,gir_pct,putting_avg,scrambling_pct
adelaide-2023,Abraham Ancer,Fireballs GC,Adelaide,2023.0,18.0,307.8,0.0,71.43,87.04,1.69,42.86
adelaide-2023,Anirban Lahiri,Crushers GC,Adelaide,2023.0,17.0,292.9,1.0,59.52,81.48,1.57,70.0
adelaide-2023,Bernd Wiesberger,Cleeks Golf Club,Adelaide,2023.0,10.0,301.0,2.0,59.52,77.78,1.69,58.33
adelaide-2023,Branden Grace,Southern Guards GC,Adelaide,2023.0,14.0,307.2,0.0,59.52,70.37,1.69,56.25
adelaide-2023,Brendan Steele,HyFlyers GC,Adelaide,2023.0,13.0,294.8,0.0,59.52,85.19,1.74,62.5
adelaide-2023,Brooks Koepka,Smash GC,Adelaide,2023.0,17.0,290.6,0.0,78.57,79.63,1.63,63.64
adelaide-2023,Bryson DeChambeau,Crushers GC,Adelaide,2023.0,16.0,271.0,1.0,35.71,74.07,1.56,50.0
adelaide-2023,Bubba Watson,RangeGoats GC,Adelaide,2023.0,11.0,297.4,2.0,73.81,83.33,1.7,66.67
adelaide-2023,Cameron Smith,Ripper GC,Adelaide,2023.0,18.0,286.8,0.0,61.91,77.78,1.54,83.33
adelaide-2023,Cameron Tringale,HyFlyers GC,Adelaide,2023.0,17.0,281.6,0.0,71.43,79.63,1.57,81.82
adelaide-2023,Carlos Ortiz,Fireballs GC,Adelaide,2023.0,12.0,300.4,0.0,64.29,70.37,1.65,62.5
adelaide-2023,Charl Schwartzel,Southern Guards GC,Adelaide,2023.0,16.0,290.8,1.0,66.67,85.19,1.63,62.5
adelaide-2023,Charles Howell III,Crushers GC,Adelaide,2023.0,17.0,286.0,0.0,61.91,74.07,1.57,71.43
adelaide-2023,Chase Koepka,Smash GC,Adelaide,2023.0,11.0,289.4,2.0,57.14,70.37,1.59,75.0
adelaide-2023,Danny Lee,Korean Golf Club,Adelaide,2023.0,11.0,303.0,2.0,59.52,72.22,1.57,73.33
adelaide-2023,David Puig,Torque GC,Adelaide,2023.0,14.0,309.0,0.0,57.14,74.07,1.61,50.0
adelaide-2023,Dean Burmester,Southern Guards GC,Adelaide,2023.0,16.0,293.8,2.0,47.62,75.93,1.54,53.85
adelaide-2023,Dustin Johnson,,Adelaide,2023.0,20.0,323.0,0.0,73.81,75.93,1.57,61.54
adelaide-2023,Eugenio Chacarra,Fireballs GC,Adelaide,2023.0,13.0,314.8,1.0,52.38,62.96,1.67,45.0
adelaide-2023,Graeme McDowell,Cleeks Golf Club,Adelaide,2023.0,15.0,290.1,0.0,57.14,68.52,1.54,70.59
adelaide-2023,Harold Varner III,RangeGoats GC,Adelaide,2023.0,14.0,294.7,3.0,54.76,70.37,1.54,56.25
adelaide-2023,Henrik Stenson,Majesticks Golf Club,Adelaide,2023.0,18.0,287.4,0.0,80.95,75.93,1.59,61.54
adelaide-2023,Ian Poulter,Majesticks Golf Club,Adelaide,2023.0,12.0,285.4,2.0,52.38,70.37,1.59,68.75
adelaide-2023,James Piot,HyFlyers GC,Adelaide,2023.0,16.0,293.4,0.0,54.76,70.37,1.56,56.25
adelaide-2023,Jason Kokrak,Smash GC,Adelaide,2023.0,17.0,278.2,0.0,54.76,85.19,1.67,62.5
adelaide-2023,Jed Morgan,Ripper GC,Adelaide,2023.0,13.0,296.1,0.0,69.05,64.82,1.61,47.37
adelaide-2023,Joaquin Niemann,Torque GC,Adelaide,2023.0,14.0,313.6,0.0,52.38,74.07,1.67,71.43
adelaide-2023,Kevin Na,Korean Golf Club,Adelaide,2023.0,18.0,291.1,0.0,59.52,83.33,1.57,44.44
adelaide-2023,Lee Westwood,Majesticks Golf Club,Adelaide,2023.0,18.0,284.0,0.0,54.76,68.52,1.57,35.29
adelaide-2023,Louis Oosthuizen,Southern Guards GC,Adelaide,2023.0,17.0,306.0,1.0,64.29,81.48,1.61,60.0
adelaide-2023,Marc Leishman,Ripper GC,Adelaide,2023.0,14.0,283.1,2.0,69.05,74.07,1.61,57.14
adelaide-2023,Martin Kaymer,Cleeks Golf Club,Adelaide,2023.0,7.0,299.2,1.0,38.1,55.56,1.63,45.83
adelaide-2023,Matt Jones,Ripper GC,Adelaide,2023.0,9.0,293.1,0.0,61.91,64.82,1.65,73.68
adelaide-2023,Matthew Wolff,Smash GC,Adelaide,2023.0,10.0,305.0,0.0,47.62,68.52,1.72,47.06
adelaide-2023,Mito Pereira,Torque GC,Adelaide,2023.0,12.0,306.2,1.0,57.14,75.93,1.67,61.54
adelaide-2023,Pat Perez,,Adelaide,2023.0,19.0,294.8,1.0,64.29,83.33,1.59,44.44
adelaide-2023,Patrick Reed,,Adelaide,2023.0,18.0,295.3,1.0,64.29,81.48,1.57,60.0
adelaide-2023,Paul Casey,Crushers GC,Adelaide,2023.0,11.0,266.4,0.0,64.29,77.78,1.72,66.67
adelaide-2023,Peter Uihlein,,Adelaide,2023.0,16.0,334.0,2.0,47.62,75.93,1.52,61.54
adelaide-2023,Phil Mickelson,HyFlyers GC,Adelaide,2023.0,22.0,288.1,0.0,47.62,68.52,1.41,58.82
adelaide-2023,Richard Bland,Cleeks Golf Club,Adelaide,2023.0,12.0,297.8,1.0,66.67,74.07,1.63,50.0
adelaide-2023,Scott Vincent,Korean Golf Club,Adelaide,2023.0,10.0,293.0,0.0,50.0,77.78,1.74,50.0
adelaide-2023,Sebastian,Torque GC,Adelaide,2023.0,14.0,306.2,1.0,66.67,83.33,1.67,66.67
adelaide-2023,Sergio Garcia,Fireballs GC,Adelaide,2023.0,16.0,302.4,0.0,50.0,79.63,1.63,72.73
adelaide-2023,Sihwan Kim,Korean Golf Club,Adelaide,2023.0,8.0,287.8,0.0,54.76,51.85,1.67,42.31
adelaide-2023,Talor Gooch,RangeGoats GC,Adelaide,2023.0,21.0,284.5,1.0,80.95,92.59,1.63,25.0
adelaide-2023,Thomas Pieters,RangeGoats GC,Adelaide,2023.0,18.0,307.3,0.0,57.14,70.37,1.57,37.5
adelaide-2024,Abraham Ancer,Fireballs GC,Adelaide,2024.0,17.0,301.7,1.0,71.43,79.63,1.61,54.55
adelaide-2024,Adrian Meronk,Cleeks Golf Club,Adelaide,2024.0,14.0,301.5,1.0,64.29,79.63,1.65,54.55
adelaide-2024,Andy Ogletree,HyFlyers GC,Adelaide,2024.0,18.0,308.2,2.0,59.52,77.78,1.56,58.33
adelaide-2024,Anirban Lahiri,Crushers GC,Adelaide,2024.0,17.0,289.8,0.0,78.57,81.48,1.63,70.0
adelaide-2024,Branden Grace,Southern Guards GC,Adelaide,2024.0,10.0,297.5,2.0,59.52,79.63,1.74,54.55
adelaide-2024,Brendan Steele,HyFlyers GC,Adelaide,2024.0,23.0,286.9,0.0,73.81,87.04,1.59,57.14
adelaide-2024,Brooks Koepka,Smash GC,Adelaide,2024.0,16.0,293.5,0.0,69.05,88.89,1.65,83.33
adelaide-2024,Bryson DeChambeau,Crushers GC,Adelaide,2024.0,13.0,304.2,1.0,47.62,72.22,1.63,73.33
adelaide-2024,Bubba Watson,RangeGoats GC,Adelaide,2024.0,14.0,302.8,0.0,61.91,79.63,1.67,63.64
adelaide-2024,Caleb Surratt,Legion XIII,Adelaide,2024.0,16.0,307.9,0.0,54.76,74.07,1.56,71.43
adelaide-2024,Cameron Smith,Ripper GC,Adelaide,2024.0,13.0,297.2,1.0,59.52,77.78,1.57,91.67
adelaide-2024,Cameron Tringale,HyFlyers GC,Adelaide,2024.0,15.0,289.4,1.0,73.81,83.33,1.69,55.56
adelaide-2024,Carlos Ortiz,Torque GC,Adelaide,2024.0,19.0,290.2,0.0,69.05,81.48,1.61,60.0
adelaide-2024,Charl Schwartzel,Southern Guards GC,Adelaide,2024.0,17.0,293.3,0.0,59.52,74.07,1.48,92.86
adelaide-2024,Charles Howell III,Crushers GC,Adelaide,2024.0,16.0,296.7,1.0,66.67,77.78,1.65,41.67
adelaide-2024,Danny Lee,Korean Golf Club,Adelaide,2024.0,18.0,295.7,1.0,47.62,77.78,1.48,66.67
adelaide-2024,David Puig,Fireballs GC,Adelaide,2024.0,15.0,325.1,0.0,52.38,75.93,1.67,30.77
adelaide-2024,Dean Burmester,Southern Guards GC,Adelaide,2024.0,20.0,303.8,0.0,61.91,85.19,1.65,50.0
adelaide-2024,Dustin Johnson,,Adelaide,2024.0,16.0,303.4,0.0,54.76,77.78,1.67,58.33
adelaide-2024,Eugenio Chacarra,Fireballs GC,Adelaide,2024.0,17.0,294.0,0.0,50.0,75.93,1.7,38.46
adelaide-2024,Graeme McDowell,Smash GC,Adelaide,2024.0,14.0,291.0,0.0,54.76,68.52,1.59,52.94
adelaide-2024,Harold Varner III,,Adelaide,2024.0,13.0,304.7,0.0,57.14,72.22,1.69,53.33
adelaide-2024,Henrik Stenson,Majesticks Golf Club,Adelaide,2024.0,8.0,268.3,0.0,71.43,72.22,1.82,46.67
adelaide-2024,Hudson Swafford,,Adelaide,2024.0,10.0,270.1,0.0,47.62,62.96,1.67,45.0
adelaide-2024,Ian Poulter,Majesticks Golf Club,Adelaide,2024.0,6.0,272.1,0.0,52.38,64.82,1.67,57.9
adelaide-2024,Jason Kokrak,Smash GC,Adelaide,2024.0,13.0,286.5,0.0,73.81,75.93,1.7,46.15
adelaide-2024,Jinichiro Kozuma,Korean Golf Club,Adelaide,2024.0,17.0,297.8,2.0,57.14,68.52,1.48,64.71
adelaide-2024,Joaquin Niemann,Torque GC,Adelaide,2024.0,17.0,313.9,1.0,64.29,72.22,1.46,86.67
adelaide-2024,Jon Rahm,Legion XIII,Adelaide,2024.0,19.0,319.6,1.0,73.81,75.93,1.57,61.54
adelaide-2024,Kalle Samooja,Cleeks Golf Club,Adelaide,2024.0,15.0,300.0,2.0,52.38,75.93,1.7,30.77
adelaide-2024,Kevin Na,Korean Golf Club,Adelaide,2024.0,17.0,289.5,0.0,57.14,81.48,1.63,40.0
adelaide-2024,Kieran Vincent,Legion XIII,Adelaide,2024.0,10.0,300.6,2.0,52.38,70.37,1.69,31.25
adelaide-2024,Lee Westwood,Majesticks Golf Club,Adelaide,2024.0,14.0,297.7,0.0,61.91,75.93,1.63,61.54
adelaide-2024,Louis Oosthuizen,Southern Guards GC,Adelaide,2024.0,19.0,302.2,1.0,80.95,79.63,1.54,63.64
adelaide-2024,Lucas Herbert,Ripper GC,Adelaide,2024.0,19.0,322.8,1.0,38.1,74.07,1.57,50.0
adelaide-2024,Marc Leishman,Ripper GC,Adelaide,2024.0,16.0,302.1,0.0,54.76,77.78,1.52,75.0
adelaide-2024,Martin Kaymer,Cleeks Golf Club,Adelaide,2024.0,14.0,291.7,2.0,61.91,75.93,1.54,61.54
adelaide-2024,Matt Jones,Ripper GC,Adelaide,2024.0,16.0,296.4,0.0,54.76,79.63,1.56,81.82
adelaide-2024,Matthew Wolff,RangeGoats GC,Adelaide,2024.0,17.0,310.8,1.0,50.0,72.22,1.65,46.67
adelaide-2024,Mito Pereira,Torque GC,Adelaide,2024.0,17.0,296.9,1.0,50.0,75.93,1.56,76.92
adelaide-2024,Pat Perez,,Adelaide,2024.0,11.0,287.7,1.0,66.67,75.93,1.57,76.92
adelaide-2024,Patrick Reed,,Adelaide,2024.0,19.0,301.9,0.0,69.05,68.52,1.52,58.82
adelaide-2024,Paul Casey,Crushers GC,Adelaide,2024.0,13.0,281.0,1.0,59.52,79.63,1.67,63.64
