playerName,season,team,birdies_per_round,drive_distance,eagles,fairway_pct,gir_pct,putting_avg,scrambling_pct
Abraham Ancer,2022,Fireballs GC,74.0,302.5,3.0,76.98,70.99,1.64,50.0
Abraham Ancer,2023,Fireballs GC,168.0,299.0,2.0,72.56,68.8,1.6,58.9
Abraham Ancer,2024,Fireballs GC,180.0,299.8,2.0,67.32,70.14,1.57,60.47
Abraham Ancer,2025,Fireballs GC,162.0,302.7,3.0,67.86,67.36,1.6,60.0
Abraham Ancer,2026,Torque GC,43.0,285.4,2.0,62.5,70.83,1.51,71.43
Adrian Meronk,2024,Cleeks Golf Club,164.0,311.7,5.0,54.46,67.22,1.58,59.75
Adrian Meronk,2025,Cleeks Golf Club,153.0,314.6,6.0,50.71,65.42,1.59,53.82
Adrian Meronk,2026,Cleeks Golf Club,35.0,278.3,1.0,53.57,72.22,1.63,62.5
Adrian Otaegui,2022,Torque GC,26.0,277.6,0.0,62.6,58.02,1.6,64.71
Andy Ogletree,2022,Torque GC,5.0,285.5,0.0,35.9,33.33,1.59,38.89
Andy Ogletree,2023,,27.0,309.4,2.0,61.22,65.87,1.55,69.77
Andy Ogletree,2024,HyFlyers GC,147.0,305.1,3.0,51.79,63.89,1.6,55.38
Andy Ogletree,2025,HyFlyers GC,129.0,306.5,3.0,59.82,60.97,1.59,59.79
Anirban Lahiri,2022,Crushers GC,60.0,297.9,2.0,66.06,69.44,1.59,57.58
Anirban Lahiri,2023,Crushers GC,150.0,297.9,5.0,62.28,67.59,1.57,67.14
Anirban Lahiri,2024,Crushers GC,143.0,299.7,6.0,65.0,67.5,1.59,66.24
Anirban Lahiri,2025,Crushers GC,175.0,302.2,2.0,60.54,66.11,1.58,61.89
Anirban Lahiri,2026,Crushers GC,34.0,287.2,1.0,58.93,63.89,1.55,69.23
Anthony Kim,2024,,93.0,303.2,2.0,44.42,54.51,1.58,52.67
Anthony Kim,2025,,116.0,293.5,1.0,48.35,57.98,1.6,51.53
Anthony Kim,2026,,42.0,288.7,1.0,52.68,79.86,1.58,79.31
Ben Campbell,2025,RangeGoats GC,133.0,287.5,4.0,63.67,66.35,1.62,56.13
Ben Campbell,2026,RangeGoats GC,37.0,273.5,1.0,65.18,71.53,1.52,75.61
Ben Schmidt,2026,Majesticks Golf Club,36.0,295.3,1.0,45.54,71.53,1.65,51.22
Bernd Wiesberger,2022,,72.0,294.3,2.0,63.57,66.93,1.67,53.6
Bernd Wiesberger,2023,Cleeks Golf Club,147.0,297.7,6.0,57.83,63.11,1.59,57.92
Blake Windred,2022,,21.0,283.7,1.0,50.0,50.93,1.65,37.74
Branden Grace,2022,Southern Guards GC,89.0,297.1,1.0,59.7,72.22,1.61,61.05
Branden Grace,2023,Southern Guards GC,162.0,306.4,5.0,63.72,70.09,1.6,64.76
Branden Grace,2024,Southern Guards GC,123.0,297.8,5.0,60.54,69.86,1.68,58.06
Branden Grace,2025,Southern Guards GC,123.0,304.8,2.0,56.76,66.52,1.61,61.88
Branden Grace,2026,Southern Guards GC,36.0,288.3,3.0,58.93,77.08,1.6,81.82
Brendan Steele,2023,HyFlyers GC,152.0,309.1,7.0,61.69,72.79,1.64,62.3
Brendan Steele,2024,HyFlyers GC,152.0,311.5,6.0,59.11,66.39,1.6,57.85
Brendan Steele,2025,HyFlyers GC,163.0,309.4,1.0,62.86,67.08,1.63,59.92
Brendan Steele,2026,HyFlyers GC,33.0,295.2,1.0,57.14,68.06,1.58,67.39
Brooks Koepka,2022,Smash GC,78.0,317.3,6.0,61.11,68.52,1.59,62.75
Brooks Koepka,2023,Smash GC,176.0,306.8,3.0,60.04,72.22,1.6,64.1
Brooks Koepka,2024,Smash GC,169.0,312.6,5.0,58.04,71.11,1.6,62.02
Brooks Koepka,2025,Smash GC,148.0,311.8,6.0,57.53,61.86,1.56,60.63
Bryson DeChambeau,2022,Crushers GC,71.0,327.1,1.0,52.78,69.44,1.61,59.6
Bryson DeChambeau,2023,Crushers GC,185.0,316.8,8.0,55.99,70.51,1.6,61.84
Bryson DeChambeau,2024,Crushers GC,173.0,323.5,8.0,54.11,70.56,1.57,65.09
Bryson DeChambeau,2025,Crushers GC,186.0,328.8,8.0,62.68,69.17,1.57,67.12
Bryson DeChambeau,2026,Crushers GC,42.0,303.8,1.0,54.46,77.78,1.56,68.75
Bubba Watson,2023,RangeGoats GC,127.0,308.3,6.0,64.27,72.51,1.69,59.07
Bubba Watson,2024,RangeGoats GC,141.0,313.3,7.0,58.21,66.39,1.63,50.41
Bubba Watson,2025,RangeGoats GC,170.0,315.1,12.0,61.96,67.78,1.59,59.05
Bubba Watson,2026,RangeGoats GC,31.0,285.5,0.0,60.71,70.14,1.6,62.79
Byeong Hun An,2026,Korean Golf Club,41.0,301.2,0.0,47.32,69.44,1.53,77.27
Caleb Surratt,2024,Legion XIII,146.0,311.9,1.0,55.18,66.25,1.61,60.08
Caleb Surratt,2025,Legion XIII,185.0,320.7,4.0,55.89,63.19,1.54,56.23
Caleb Surratt,2026,Legion XIII,40.0,291.6,0.0,53.57,68.75,1.57,64.44
Cameron Smith,2022,,51.0,299.1,6.0,63.64,66.2,1.51,73.97
Cameron Smith,2023,Ripper GC,187.0,305.1,5.0,54.33,66.38,1.51,65.25
Cameron Smith,2024,Ripper GC,178.0,303.0,5.0,50.38,66.96,1.52,62.39
Cameron Smith,2025,Ripper GC,173.0,310.9,4.0,51.79,64.72,1.55,64.96
Cameron Smith,2026,Ripper GC,46.0,285.1,0.0,54.46,65.28,1.47,70.0
Cameron Tringale,2022,,42.0,301.8,1.0,67.88,71.3,1.65,69.35
Cameron Tringale,2023,HyFlyers GC,159.0,295.6,6.0,64.27,68.52,1.58,66.97
Cameron Tringale,2024,HyFlyers GC,171.0,305.2,4.0,58.93,69.58,1.58,59.36
Cameron Tringale,2025,HyFlyers GC,155.0,301.8,3.0,63.21,68.89,1.58,63.39
Cameron Tringale,2026,HyFlyers GC,28.0,275.8,1.0,53.57,71.53,1.67,53.66
Carlos Ortiz,2022,Fireballs GC,71.0,300.2,1.0,67.86,70.37,1.59,70.83
Carlos Ortiz,2023,Fireballs GC,170.0,306.8,6.0,59.67,68.66,1.58,61.36
Carlos Ortiz,2024,Torque GC,171.0,309.5,3.0,59.11,69.86,1.6,61.29
Carlos Ortiz,2025,Torque GC,186.0,315.3,3.0,58.21,68.06,1.58,59.13
Carlos Ortiz,2026,Torque GC,31.0,297.0,3.0,50.89,75.0,1.61,75.0
Charl Schwartzel,2022,Southern Guards GC,84.0,301.0,3.0,60.14,69.84,1.63,55.26
Charl Schwartzel,2023,Southern Guards GC,147.0,306.2,9.0,56.71,66.67,1.61,57.46
Charl Schwartzel,2024,Southern Guards GC,142.0,300.7,3.0,53.04,65.56,1.59,63.71
Charl Schwartzel,2025,Southern Guards GC,167.0,306.0,8.0,59.82,63.33,1.54,63.26
Charl Schwartzel,2026,Southern Guards GC,37.0,290.5,1.0,53.57,73.61,1.56,73.68
Charles Howell III,2022,Crushers GC,61.0,306.4,0.0,64.25,71.48,1.61,62.34
Charles Howell III,2023,Crushers GC,152.0,303.3,6.0,62.25,72.08,1.6,67.35
Charles Howell III,2024,Crushers GC,106.0,301.6,4.0,53.83,67.66,1.59,59.51
Charles Howell III,2025,Crushers GC,167.0,310.6,0.0,57.14,66.94,1.59,60.92
Charles Howell III,2026,Crushers GC,31.0,282.6,1.0,40.18,74.31,1.61,72.97
Chase Koepka,2022,Smash GC,75.0,292.8,4.0,62.2,69.05,1.66,52.14
Chase Koepka,2023,Smash GC,127.0,296.3,4.0,56.91,63.39,1.66,49.42
Chieh-Po Lee,2025,,131.0,304.0,0.0,63.74,63.82,1.64,53.54
Danny Lee,2023,Korean Golf Club,136.0,296.7,4.0,62.43,66.38,1.62,60.59
Danny Lee,2024,Korean Golf Club,136.0,298.2,6.0,57.32,65.83,1.61,58.94
Danny Lee,2025,Korean Golf Club,129.0,301.8,1.0,60.07,62.54,1.61,58.17
Danny Lee,2026,Korean Golf Club,37.0,283.9,0.0,48.21,72.92,1.63,66.67
David Puig,2022,Torque GC,22.0,295.2,0.0,39.84,52.47,1.6,54.55
David Puig,2023,Torque GC,157.0,314.7,10.0,55.62,63.25,1.57,58.91
David Puig,2024,Fireballs GC,180.0,318.2,0.0,52.86,63.47,1.54,60.46
David Puig,2025,Fireballs GC,170.0,325.3,8.0,55.21,66.22,1.56,63.11
David Puig,2026,Fireballs GC,34.0,304.0,2.0,58.04,72.92,1.6,64.1
Dean Burmester,2023,Southern Guards GC,164.0,318.2,10.0,49.91,69.8,1.59,61.32
Dean Burmester,2024,Southern Guards GC,160.0,318.2,4.0,52.68,68.89,1.59,65.63
Dean Burmester,2025,Southern Guards GC,176.0,327.6,9.0,51.96,68.75,1.58,58.67
Dean Burmester,2026,Southern Guards GC,39.0,294.3,1.0,47.32,71.53,1.59,60.98
Dustin Johnson,2022,,102.0,311.9,5.0,59.79,71.16,1.56,64.22
Dustin Johnson,2023,,195.0,316.4,3.0,62.62,73.08,1.61,59.26
Dustin Johnson,2024,,172.0,314.4,1.0,57.5,70.0,1.6,60.65
Dustin Johnson,2025,,179.0,315.7,3.0,58.57,65.97,1.59,57.14
Dustin Johnson,2026,,38.0,290.2,3.0,51.79,70.83,1.53,66.67
Elvis Smylie,2026,Ripper GC,46.0,292.5,1.0,63.39,75.0,1.57,66.67
Eugenio Chacarra,2022,Fireballs GC,71.0,311.1,2.0,64.29,66.98,1.6,57.01
Eugenio Chacarra,2023,Fireballs GC,157.0,311.0,4.0,60.59,68.23,1.63,60.09
Eugenio Chacarra,2024,Fireballs GC,150.0,313.2,4.0,53.57,65.83,1.61,57.72
Frederik Kjettrup,2025,Cleeks Golf Club,98.0,283.6,0.0,50.77,61.86,1.67,46.06
Graeme McDowell,2022,Cleeks Golf Club,66.0,287.0,1.0,68.73,65.87,1.65,55.04
Graeme McDowell,2023,Cleeks Golf Club,141.0,291.3,3.0,62.62,66.24,1.61,59.49
Graeme McDowell,2024,Smash GC,124.0,293.9,6.0,61.55,66.01,1.59,56.73
Graeme McDowell,2025,Smash GC,130.0,299.2,1.0,60.36,65.83,1.62,59.76
Graeme McDowell,2026,Smash GC,39.0,275.0,0.0,54.46,74.31,1.58,64.86
Harold Varner III,2022,,49.0,311.1,2.0,61.82,71.3,1.6,61.29
Harold Varner III,2023,RangeGoats GC,150.0,304.6,14.0,59.48,69.8,1.58,64.62
Harold Varner III,2024,,146.0,309.9,3.0,55.0,65.56,1.62,57.26
Harold Varner III,2025,,154.0,315.8,1.0,60.0,69.58,1.62,58.9
Harold Varner III,2026,Smash GC,31.0,286.6,2.0,51.79,76.39,1.69,58.82
Hellgren,2026,Wild Card,31.0,292.1,1.0,58.04,70.14,1.62,60.47
