playerName,team,season,drive_dist,fairway_pct,gir_pct,scrambling_pct,putting_avg,est_sg_total,est_sg_ott,est_sg_app,est_sg_atg,est_sg_putt,events_played,avg_position,top10s,wins
Cameron Smith,,2022,299.1,63.64,66.2,73.97,1.51,0.98200405,0.11256553,0.06488264,0.18859541,0.5824785,,,,
Dustin Johnson,,2022,311.9,59.79,71.16,64.22,1.56,0.953012,0.297957,0.40998122,0.05191664,0.23031168,,,,
Paul Casey,Crushers GC,2022,310.8,71.01,72.59,68.92,1.61,0.7366871,0.39860106,0.43098083,0.08875759,-0.0644205,,,,
Joaquin Niemann,Torque GC,2022,310.8,66.06,81.48,52.5,1.64,0.6453518,0.5741859,0.5029179,-0.18603095,-0.46358192,,,,
Harold Varner III,,2022,311.1,61.82,71.3,61.29,1.6,0.54546225,0.28015003,0.26681906,-0.06548653,0.103796825,,,,
Matthew Wolff,,2022,323.5,62.3,72.53,70.79,1.63,0.52731764,0.60388935,0.03154229,-0.037443835,-0.011527548,,,,
Patrick Reed,,2022,295.1,64.29,66.05,64.55,1.52,0.48725984,0.012629159,-0.014873032,0.07489103,0.48167875,,,,
Jason Kokrak,Smash GC,2022,311.9,58.45,74.44,68.12,1.68,0.48056564,0.42876962,0.3128492,0.08476951,-0.33817884,,,,
Brooks Koepka,Smash GC,2022,317.3,61.11,68.52,62.75,1.59,0.38441566,0.37309027,-0.03891956,-0.07912598,0.072516836,,,,
Charles Howell III,Crushers GC,2022,306.4,64.25,71.48,62.34,1.61,0.38428858,0.3224689,0.19311318,-0.02285635,-0.053701323,,,,
Henrik Stenson,Majesticks Golf Club,2022,297.5,73.21,73.15,55.17,1.63,0.37161905,0.36965954,0.370958,-0.14681706,-0.25754613,,,,
Carlos Ortiz,Fireballs GC,2022,300.2,67.86,70.37,70.83,1.59,0.34285,0.14298737,-0.004050791,0.06043891,0.21811971,,,,
Sergio Garcia,Fireballs GC,2022,303.1,66.32,74.07,65.31,1.65,0.3371896,0.32515037,0.23153715,-0.0080160145,-0.22286253,,,,
Branden Grace,Southern Guards GC,2022,297.1,59.7,72.22,61.05,1.61,0.31631547,0.09754036,0.2736849,0.059518747,-0.06540556,,,,
Cameron Tringale,,2022,301.8,67.88,71.3,69.35,1.65,0.30150574,0.27250415,0.13563903,0.094333164,-0.1891502,,,,
Louis Oosthuizen,Southern Guards GC,2022,294.9,69.07,69.84,61.4,1.62,0.27024135,0.23497263,0.1843028,-0.032926388,-0.06164453,,,,
Talor Gooch,,2022,294.6,69.42,73.28,57.43,1.64,0.22743256,0.27431065,0.31398642,-0.047179148,-0.22995566,,,,
Abraham Ancer,Fireballs GC,2022,302.5,76.98,70.99,50.0,1.64,0.22246566,0.4506571,0.32856643,-0.17355996,-0.4288186,,,,
Lee Westwood,Majesticks Golf Club,2022,297.3,67.01,69.31,63.79,1.59,0.16181603,0.15823305,-0.041191835,-0.013923842,0.12353689,,,,
Anirban Lahiri,Crushers GC,2022,297.9,66.06,69.44,57.58,1.59,0.13672183,0.2130853,0.06309846,-0.12978756,0.011247065,,,,
Bryson DeChambeau,Crushers GC,2022,327.1,52.78,69.44,59.6,1.61,0.09624065,0.61050165,-0.36150542,-0.14584635,-0.18725076,,,,
Shergo Al Kurdi,Majesticks Golf Club,2022,293.8,61.54,66.67,50.0,1.57,0.06291874,0.03512309,0.07424667,-0.15863752,0.2044755,,,,
Justin Harding,,2022,285.4,61.9,67.28,60.38,1.62,0.061212096,-0.15476139,0.17458321,0.058304667,-0.051599596,,,,
Laurie Canter,Cleeks Golf Club,2022,304.9,63.23,67.46,56.91,1.63,0.036887106,0.26615345,0.0018548568,-0.13700788,-0.1713975,,,,
Charl Schwartzel,Southern Guards GC,2022,301.0,60.14,69.84,55.26,1.63,0.0016540611,0.20966968,0.15421388,-0.11332147,-0.12998855,,,,
Eugenio Chacarra,Fireballs GC,2022,311.1,64.29,66.98,57.01,1.6,-0.013140156,0.19163272,0.036105596,-0.17541873,-0.042851146,,,,
Matt Jones,,2022,305.4,65.98,69.58,59.13,1.63,-0.07037811,0.29524764,0.039271776,-0.17833886,-0.04625139,,,,
Martin Kaymer,Cleeks Golf Club,2022,293.7,61.37,65.56,58.06,1.61,-0.091061555,-0.014246528,-0.12460292,-0.0033549385,0.022237638,,,,
Kevin Na,Korean Golf Club,2022,278.7,69.2,61.4,60.61,1.58,-0.09861547,-0.15114552,-0.25938943,0.05270713,0.29219854,,,,
Peter Uihlein,Smash GC,2022,313.4,52.23,67.46,51.22,1.61,-0.108156756,0.2179725,0.06083414,-0.31044185,-0.1794711,,,,
Ian Poulter,Majesticks Golf Club,2022,286.4,63.23,68.25,53.33,1.64,-0.10845645,-0.032320704,0.2194749,-0.056057803,-0.231821,,,,
Bernd Wiesberger,,2022,294.3,63.57,66.93,53.6,1.67,-0.14191476,0.17116407,-0.09523506,-0.086186744,-0.20338005,,,,
Sihwan Kim,Korean Golf Club,2022,296.9,61.04,59.57,58.02,1.57,-0.1737357,-0.15426417,-0.33873877,0.024269713,0.27750427,,,,
Sam Horsfield,Majesticks Golf Club,2022,303.3,60.14,65.34,59.54,1.64,-0.19501208,0.15524147,-0.082610995,-0.09462689,-0.19248024,,,,
Marc Leishman,,2022,299.5,63.03,71.76,59.02,1.68,-0.1993702,0.24158184,0.017927913,-0.0962727,-0.2312973,,,,
Phil Mickelson,,2022,296.3,53.95,67.72,54.92,1.67,-0.2297827,-0.03489443,0.13895941,-0.0128695145,-0.3547471,,,,
Pat Perez,,2022,286.6,68.25,66.05,55.45,1.64,-0.23480688,-0.01790246,-0.033389658,-0.10623454,-0.16008434,,,,
Richard Bland,Cleeks Golf Club,2022,289.4,65.64,73.28,56.44,1.67,-0.26711127,0.12322858,0.17592606,-0.085455865,-0.3392183,,,,
James Piot,,2022,298.2,63.57,63.76,52.55,1.65,-0.28367162,0.13678874,-0.2044521,-0.17736533,-0.11874536,,,,
Chase Koepka,Smash GC,2022,292.8,62.2,69.05,52.14,1.66,-0.31244624,0.14254479,-0.013492328,-0.063464686,-0.35303405,,,,
Scott Vincent,Torque GC,2022,297.4,65.64,65.08,55.3,1.65,-0.32534504,0.14605714,-0.113963984,-0.10093789,-0.27927446,,,,
Phachara Khongwatmai,Korean Golf Club,2022,299.8,54.98,59.26,59.09,1.55,-0.33154756,-0.18039067,-0.4600387,0.013375568,0.31669652,,,,
Jinichiro Kozuma,,2022,280.7,57.14,58.64,56.72,1.55,-0.3588711,-0.5410998,-0.23509039,0.10541996,0.32927912,,,,
JC Ritchie,Cleeks Golf Club,2022,275.5,48.72,72.22,60.0,1.8,-0.3690345,-0.7515281,0.6102409,0.033269756,-0.394408,,,,
Adrian Otaegui,Torque GC,2022,277.6,62.6,58.02,64.71,1.6,-0.3805187,-0.32450718,-0.5850134,0.27619368,0.27467337,,,,
Hudson Swafford,,2022,305.0,59.79,67.2,48.39,1.7,-0.42122567,0.413616,0.033501793,-0.34212932,-0.42664912,,,,
Shaun Norris,Southern Guards GC,2022,303.3,58.08,63.23,52.52,1.64,-0.4869847,0.06189524,-0.29932767,-0.1836033,-0.10056419,,,,
Sadom Kaewkanjana,Korean Golf Club,2022,288.4,70.79,66.67,50.0,1.68,-0.48877078,0.25524333,0.004509936,-0.26069883,-0.57968587,,,,
Oliver Bekker,,2022,287.5,64.1,70.37,50.0,1.67,-0.4923675,0.05076765,-0.0005770609,-0.21216327,-0.4060327,,,,
Yuki Inamori,,2022,272.9,75.86,64.81,63.16,1.69,-0.5200992,-0.067449965,-0.060325827,0.08726172,-0.41465867,,,,
Graeme McDowell,Cleeks Golf Club,2022,287.0,68.73,65.87,55.04,1.65,-0.54632884,-0.09117516,-0.08470344,-0.13940164,-0.18739808,,,,
Hennie Du Plessis,Southern Guards GC,2022,295.4,54.76,69.75,51.02,1.7,-0.55647475,0.03224159,0.050191496,-0.10765275,-0.42974937,,,,
Ryosuke Kinoshita,,2022,289.1,57.94,59.88,61.54,1.63,-0.64724475,-0.29238957,-0.4440495,0.093536414,-0.036989164,,,,
Turk Pettit,,2022,301.7,59.79,63.76,50.36,1.66,-0.68300134,0.17105943,-0.46322635,-0.25650832,-0.13489023,,,,
Hideto Tanihara,Torque GC,2022,280.1,67.62,62.59,54.46,1.68,-0.7164784,-0.1741541,-0.33575904,-0.030282546,-0.23651962,,,,
Jed Morgan,Torque GC,2022,305.8,58.76,63.49,44.93,1.66,-0.72307754,0.16970636,-0.33785462,-0.27441543,-0.38752764,,,,
David Puig,Torque GC,2022,295.2,39.84,52.47,54.55,1.6,-0.75922644,-0.4952816,-0.52750355,-0.02972593,0.26996613,,,,
Travis Smyth,,2022,288.7,59.52,55.56,58.33,1.61,-0.7865802,-0.18943223,-0.7953628,0.08014497,0.17977735,,,,
Wade Ormsby,,2022,282.1,72.16,64.55,51.49,1.69,-0.8157764,0.016486492,-0.08081193,-0.076206595,-0.42428052,,,,
Ian Snyman,,2022,278.5,57.14,56.48,57.45,1.63,-0.8574774,-0.57586694,-0.4431277,0.086173475,-0.005329595,,,,
Ratchanon Chantananuwat,,2022,264.2,53.85,48.15,50.0,1.59,-1.0645692,-1.0324199,-0.31570008,0.047652304,0.2966561,,,,
Kevin Yuan,,2022,264.5,43.59,57.41,56.52,1.72,-1.4314733,-1.1583133,-0.069244705,0.10876264,-0.2618851,,,,
Pablo Larrazabal,Cleeks Golf Club,2022,269.3,56.41,64.81,36.84,1.67,-1.5184308,-0.70289165,0.04279892,-0.29451427,-0.7070485,,,,
Blake Windred,,2022,283.7,50.0,50.93,37.74,1.65,-1.9097615,-0.77452576,-0.6209596,-0.22079715,-0.28342956,,,,
Itthipat Buranatanyarat,,2022,286.3,39.29,47.22,42.11,1.63,-1.9831412,-0.9431275,-0.6305143,-0.052253306,-0.0051376577,,,,
Viraj Madappa,Korean Golf Club,2022,271.2,38.46,61.11,38.1,1.76,-2.1488924,-1.2082326,-0.23277833,-0.13840148,-0.63103133,,,,
Andy Ogletree,Torque GC,2022,285.5,35.9,33.33,38.89,1.59,-2.2686782,-1.2450919,-1.2793573,0.017554736,0.26581854,,,,
Oliver Fisher,,2022,270.2,38.46,55.56,37.5,1.74,-2.7972064,-1.3063608,-0.38909307,-0.15052702,-0.4918279,,,,
Talor Gooch,RangeGoats GC,2023,297.9,66.3,71.37,72.64,1.57,0.8653486,0.13959868,0.20516703,0.17684068,0.2833261,13.0,12.076923076923077,5.0,3.0
Cameron Smith,Ripper GC,2023,305.1,54.33,66.38,65.25,1.51,0.86267483,0.14902212,0.17656586,0.19106314,0.47703892,13.0,15.307692307692308,6.0,2.0
Patrick Reed,,2023,297.7,58.38,67.66,69.16,1.56,0.7869336,0.0026189196,0.11210202,0.27195615,0.4247369,13.0,16.615384615384617,5.0,0.0
Charles Howell III,Crushers GC,2023,303.3,62.25,72.08,67.35,1.6,0.6518878,0.25177914,0.23834227,0.101893924,0.09616663,12.0,20.333333333333332,4.0,1.0
Anirban Lahiri,Crushers GC,2023,297.9,62.28,67.59,67.14,1.57,0.6294901,0.13381028,0.13282548,0.15992957,0.22794496,11.0,19.90909090909091,3.0,0.0
Sergio Garcia,Fireballs GC,2023,305.9,63.9,72.22,67.69,1.63,0.61563444,0.30771607,0.2124736,0.109195806,-0.13646083,12.0,20.333333333333332,2.0,0.0
Jason Kokrak,Smash GC,2023,309.0,62.52,72.52,60.11,1.61,0.6116163,0.36753416,0.23937488,0.02033006,-0.064334564,12.0,18.666666666666668,2.0,0.0
Joaquin Niemann,Torque GC,2023,314.1,61.33,72.22,61.54,1.63,0.60654736,0.49471468,0.2046204,0.06683034,-0.09351439,12.0,18.166666666666668,5.0,0.0
Cameron Tringale,HyFlyers GC,2023,295.6,64.27,68.52,66.97,1.58,0.5549398,0.058489043,0.175368,0.09527256,0.30466217,13.0,15.076923076923077,5.0,0.0
