event_slug,event_name,year,team,team_score,players_used,event_rank,win,podium,total_teams
adelaide-2023,Adelaide 2023,2023,4Aces GC,-57.0,4,1,1,1,12
adelaide-2023,Adelaide 2023,2023,Cleeks Golf Club,-14.0,4,11,0,0,12
adelaide-2023,Adelaide 2023,2023,Crushers GC,-40.0,4,5,0,0,12
adelaide-2023,Adelaide 2023,2023,Fireballs GC,-30.0,4,8,0,0,12
adelaide-2023,Adelaide 2023,2023,HyFlyers GC,-43.0,4,3,0,1,12
adelaide-2023,Adelaide 2023,2023,Korean Golf Club,-11.0,4,12,0,0,12
adelaide-2023,Adelaide 2023,2023,Majesticks Golf Club,-27.0,3,10,0,0,12
adelaide-2023,Adelaide 2023,2023,RangeGoats GC,-50.0,4,2,0,1,12
adelaide-2023,Adelaide 2023,2023,Ripper GC,-29.0,4,9,0,0,12
adelaide-2023,Adelaide 2023,2023,Smash GC,-34.0,4,7,0,0,12
adelaide-2023,Adelaide 2023,2023,Southern Guards GC,-43.0,4,3,0,1,12
adelaide-2023,Adelaide 2023,2023,Torque GC,-35.0,4,6,0,0,12
adelaide-2024,Adelaide 2024,2024,4Aces GC,-32.0,4,10,0,0,13
adelaide-2024,Adelaide 2024,2024,Cleeks Golf Club,-40.0,4,7,0,0,13
adelaide-2024,Adelaide 2024,2024,Crushers GC,-42.0,4,5,0,0,13
adelaide-2024,Adelaide 2024,2024,Fireballs GC,-31.0,4,11,0,0,13
adelaide-2024,Adelaide 2024,2024,HyFlyers GC,-53.0,4,2,0,1,13
adelaide-2024,Adelaide 2024,2024,Korean Golf Club,-40.0,4,7,0,0,13
adelaide-2024,Adelaide 2024,2024,Legion XIII,-41.0,4,6,0,0,13
adelaide-2024,Adelaide 2024,2024,Majesticks Golf Club,-7.0,4,13,0,0,13
adelaide-2024,Adelaide 2024,2024,RangeGoats GC,-39.0,4,9,0,0,13
adelaide-2024,Adelaide 2024,2024,Ripper GC,-53.0,4,2,0,1,13
adelaide-2024,Adelaide 2024,2024,Smash GC,-30.0,4,12,0,0,13
adelaide-2024,Adelaide 2024,2024,Southern Guards GC,-55.0,4,1,1,1,13
adelaide-2024,Adelaide 2024,2024,Torque GC,-49.0,4,4,0,0,13
adelaide-2025,Adelaide 2025,2025,4Aces GC,-9.0,4,5,0,0,13
adelaide-2025,Adelaide 2025,2025,Cleeks Golf Club,7.0,4,12,0,0,13
adelaide-2025,Adelaide 2025,2025,Crushers GC,-12.0,4,4,0,0,13
adelaide-2025,Adelaide 2025,2025,Fireballs GC,-21.0,4,1,1,1,13
adelaide-2025,Adelaide 2025,2025,HyFlyers GC,-9.0,4,5,0,0,13
adelaide-2025,Adelaide 2025,2025,Korean Golf Club,5.0,4,10,0,0,13
adelaide-2025,Adelaide 2025,2025,Legion XIII,-15.0,4,2,0,1,13
adelaide-2025,Adelaide 2025,2025,Majesticks Golf Club,-9.0,4,5,0,0,13
adelaide-2025,Adelaide 2025,2025,RangeGoats GC,6.0,4,11,0,0,13
