event_slug,event_name,year,score_spread,score_iqr,r1_std,r2_std,r3_std,team_margin,n_players,margin_norm,spread_norm,excitement_index
adelaide-2023,Adelaide 2023,2023,6.0574645657876065,5.5,3.358339751043849,3.051818887137471,2.594557742610671,7.0,47,0.46153846153846156,0.14583513250631544,0.33525712992560314
adelaide-2024,Adelaide 2024,2024,5.241968076767729,7.0,3.0702940201390483,2.6282765161933206,2.552781004378068,2.0,53,0.8461538461538461,0.08253662901410548,0.5407069592979499
adelaide-2025,Adelaide 2025,2025,5.814900496549007,7.0,2.768811524942946,2.763759175448218,2.6920308410040255,6.0,54,0.5384615384615384,0.12700740879381042,0.3738798865944472
andalucia-2024,Andalucia 2024,2024,5.836342440412575,7.0,3.6432451879678087,3.313568235517804,3.027938852869322,6.0,54,0.5384615384615384,0.1286717236949807,0.3745456125549153
andalucia-2025,Andalucia 2025,2025,4.761135757013823,5.5,2.304327045077987,2.4770787104582945,2.6889140113523973,2.0,54,0.8461538461538461,0.04521462127905049,0.5257781562039279
bedminster-2023,Bedminster 2023,2023,5.84700778176325,5.0,3.165569985537097,3.031088913245535,2.534775858430538,6.0,48,0.5384615384615384,0.1294995631226436,0.3748767483259805
chicago-2023,Chicago 2023,2023,5.0611508796863935,6.5,2.300843970964438,2.7033437398685587,2.509202919410892,1.0,48,0.9230769230769231,0.06850167223009712,0.5812468227381927
chicago-2024,Chicago 2024,2024,5.105764681605226,5.75,3.0260919854496358,2.82001432313197,2.580161371775517,1.0,54,0.9230769230769231,0.0719645772635131,0.5826319847515591
chicago-2025,Chicago 2025,2025,4.553739986936379,5.0,2.82521342335252,2.574671011529446,2.66115783190124,0.0,54,1.0,0.02911664654430377,0.6116466586177215
dallas-2025,Dallas 2025,2025,5.798065339714569,10.0,3.0282894528363107,3.229040936578785,3.270131353801795,11.0,53,0.15384615384615385,0.1257006708151376,0.14258796063374735
